ID_Empleado,Sexo,Fecha_Nacimiento,Puesto_Aerolinea,Fecha_Ingreso,Fecha_Salida,Costo_Salida,Costo_Contratacion,Encuesta_Salida,Motivo_Abandono
VAT-000041,Masculino,1994-05-01,Gerente de operaciones,2023-09-25,,0,22040,N/A,N/A
VAT-000042,Masculino,1969-10-09,Controlador de tráfico aéreo,2023-02-05,,0,27177,N/A,N/A
VAT-000043,Femenino,1992-02-19,Gerente de operaciones,2023-05-19,2024-03-17,5924,29547,Neutral,Mejor oferta laboral
VAT-000044,Femenino,1971-12-20,Agente de servicio al cliente,2023-02-25,,0,18714,N/A,N/A
VAT-000045,Femenino,1994-02-23,Gerente de operaciones,2023-05-05,,0,27190,N/A,N/A
VAT-000046,Femenino,1999-09-11,Controlador de tráfico aéreo,2023-04-17,,0,24381,N/A,N/A
VAT-000047,Femenino,1994-04-22,Asistente de vuelo,2023-09-24,,0,12700,N/A,N/A
VAT-000048,Femenino,1992-10-12,Piloto,2023-07-18,,0,25252,N/A,N/A
VAT-000049,Masculino,1965-01-14,Agente de servicio al cliente,2023-08-08,,0,16307,N/A,N/A
VAT-000050,Masculino,1986-04-15,Agente de servicio al cliente,2023-01-26,2024-06-12,12962,19280,Insatisfecho,Falta de oportunidades de crecimiento
VAT-000051,Masculino,1980-02-21,Controlador de tráfico aéreo,2023-09-15,,0,12808,N/A,N/A
VAT-000052,Femenino,1996-08-04,Mecánico de aviones,2023-08-14,,0,23035,N/A,N/A
VAT-000053,Femenino,1959-09-21,Gerente de operaciones,2023-05-26,,0,19057,N/A,N/A
VAT-000054,Femenino,1965-11-26,Gerente de operaciones,2023-05-31,,0,13057,N/A,N/A
VAT-000055,Masculino,1983-06-11,Gerente de operaciones,2023-04-08,,0,20887,N/A,N/A
VAT-000056,Masculino,1990-08-24,Mecánico de aviones,2022-12-07,2023-01-01,7659,24715,Neutral,Cambio de carrera
VAT-000057,Femenino,1966-09-08,Controlador de tráfico aéreo,2023-08-02,,0,14658,N/A,N/A
VAT-000058,Femenino,1982-03-21,Gerente de operaciones,2023-03-15,,0,26099,N/A,N/A
VAT-000059,Femenino,1980-03-10,Mecánico de aviones,2023-09-02,2023-09-05,6254,10161,Neutral,Problemas personales
VAT-000060,Masculino,1991-02-03,Gerente de operaciones,2022-12-17,,0,15355,N/A,N/A
VAT-000061,Femenino,1988-11-04,Controlador de tráfico aéreo,2023-09-11,,0,10581,N/A,N/A
VAT-000062,Masculino,1966-11-21,Gerente de operaciones,2023-02-06,,0,15246,N/A,N/A
VAT-000063,Femenino,1973-12-27,Gerente de operaciones,2023-04-16,,0,19367,N/A,N/A
VAT-000064,Masculino,1992-01-06,Gerente de operaciones,2023-03-14,,0,15013,N/A,N/A
VAT-000065,Masculino,1976-02-19,Controlador de tráfico aéreo,2023-01-17,,0,13035,N/A,N/A
VAT-000066,Masculino,1979-03-02,Agente de servicio al cliente,2023-02-23,,0,21974,N/A,N/A
VAT-000067,Masculino,1973-09-15,Agente de servicio al cliente,2023-05-09,,0,10704,N/A,N/A
VAT-000068,Femenino,1977-09-04,Mecánico de aviones,2022-12-30,,0,22203,N/A,N/A
VAT-000069,Masculino,1991-03-26,Gerente de operaciones,2022-10-15,,0,28150,N/A,N/A
VAT-000070,Femenino,1988-01-15,Controlador de tráfico aéreo,2023-03-07,,0,15653,N/A,N/A
VAT-000071,Masculino,1993-08-20,Controlador de tráfico aéreo,2023-03-03,,0,18328,N/A,N/A
VAT-000072,Masculino,1981-07-02,Gerente de operaciones,2023-03-01,,0,24372,N/A,N/A
VAT-000073,Femenino,1968-02-04,Gerente de operaciones,2022-12-22,,0,28645,N/A,N/A
VAT-000074,Masculino,1975-04-15,Agente de servicio al cliente,2023-08-04,,0,28185,N/A,N/A
VAT-000075,Masculino,1984-11-02,Gerente de operaciones,2023-08-24,2023-12-18,15816,11435,Insatisfecho,Desacuerdo con la cultura de la empresa
VAT-000076,Femenino,1959-04-25,Agente de servicio al cliente,2023-07-20,,0,29343,N/A,N/A
VAT-000077,Femenino,1962-03-03,Agente de servicio al cliente,2022-11-23,,0,11982,N/A,N/A
VAT-000078,Femenino,1982-10-13,Agente de servicio al cliente,2022-10-02,,0,23838,N/A,N/A
VAT-000079,Femenino,1966-08-18,Agente de servicio al cliente,2023-03-19,2023-03-24,19093,22721,Satisfecho,Desacuerdo con la cultura de la empresa
VAT-000080,Masculino,1990-10-22,Gerente de operaciones,2023-07-23,,0,21587,N/A,N/A
VAT-000081,Masculino,1976-02-04,Mecánico de aviones,2023-08-27,,0,24132,N/A,N/A
VAT-000082,Masculino,1962-04-09,Mecánico de aviones,2023-08-03,,0,28907,N/A,N/A
VAT-000083,Masculino,1979-04-27,Agente de servicio al cliente,2022-12-13,,0,10588,N/A,N/A
VAT-000084,Femenino,1976-12-24,Agente de servicio al cliente,2023-05-19,2024-08-05,10910,29042,Insatisfecho,Falta de oportunidades de crecimiento
VAT-000085,Femenino,1988-04-14,Asistente de vuelo,2023-03-19,,0,26854,N/A,N/A
VAT-000086,Masculino,1964-11-23,Gerente de operaciones,2023-08-28,,0,24344,N/A,N/A
VAT-000087,Femenino,1982-09-05,Gerente de operaciones,2022-10-26,,0,26633,N/A,N/A
VAT-000088,Masculino,1982-05-12,Controlador de tráfico aéreo,2023-08-12,,0,14431,N/A,N/A
VAT-000089,Masculino,1965-06-13,Agente de servicio al cliente,2023-06-11,,0,27480,N/A,N/A
VAT-000090,Femenino,1982-08-15,Gerente de operaciones,2022-12-07,,0,21471,N/A,N/A
VAT-000091,Masculino,1980-03-20,Piloto,2022-11-02,,0,28455,N/A,N/A
VAT-000092,Femenino,1976-06-21,Gerente de operaciones,2022-11-21,,0,18467,N/A,N/A
VAT-000093,Masculino,1959-04-24,Gerente de operaciones,2022-12-23,,0,27248,N/A,N/A
VAT-000094,Femenino,1983-10-21,Agente de servicio al cliente,2023-08-07,,0,10664,N/A,N/A
VAT-000095,Femenino,1970-06-13,Gerente de operaciones,2022-11-19,,0,18401,N/A,N/A
VAT-000096,Masculino,1999-10-15,Gerente de operaciones,2022-12-24,,0,23240,N/A,N/A
VAT-000097,Masculino,1994-09-23,Gerente de operaciones,2023-02-15,,0,26050,N/A,N/A
VAT-000098,Masculino,1972-11-12,Gerente de operaciones,2022-10-25,,0,21614,N/A,N/A
VAT-000099,Femenino,1959-06-11,Gerente de operaciones,2023-07-04,,0,19453,N/A,N/A
VAT-000100,Femenino,1987-06-04,Gerente de operaciones,2023-05-18,,0,28994,N/A,N/A
VAT-000101,Femenino,1995-04-07,Gerente de operaciones,2023-08-13,,0,14852,N/A,N/A
VAT-000102,Masculino,1975-10-14,Asistente de vuelo,2023-09-09,,0,23592,N/A,N/A
VAT-000103,Masculino,1989-01-19,Agente de servicio al cliente,2023-09-17,,0,21253,N/A,N/A
VAT-000104,Masculino,1998-01-28,Agente de servicio al cliente,2023-07-30,,0,27392,N/A,N/A
VAT-000105,Femenino,1963-05-05,Gerente de operaciones,2023-07-17,,0,18048,N/A,N/A
VAT-000106,Femenino,1993-10-20,Gerente de operaciones,2023-03-12,,0,12041,N/A,N/A
VAT-000107,Masculino,1985-04-27,Agente de servicio al cliente,2023-09-06,2024-06-07,5076,16531,Satisfecho,Falta de oportunidades de crecimiento
VAT-000108,Femenino,1991-05-09,Agente de servicio al cliente,2023-03-21,,0,11759,N/A,N/A
VAT-000109,Masculino,1960-01-24,Agente de servicio al cliente,2022-12-28,,0,16493,N/A,N/A
VAT-000110,Femenino,1963-05-07,Agente de servicio al cliente,2023-02-07,,0,13677,N/A,N/A
VAT-000111,Masculino,1999-02-07,Gerente de operaciones,2023-05-25,,0,12820,N/A,N/A
VAT-000112,Femenino,1993-03-26,Agente de servicio al cliente,2023-05-21,,0,28214,N/A,N/A
VAT-000113,Masculino,1972-09-16,Gerente de operaciones,2022-11-06,,0,14101,N/A,N/A
VAT-000114,Masculino,1975-04-18,Gerente de operaciones,2022-10-05,,0,17405,N/A,N/A
VAT-000115,Femenino,1987-05-11,Agente de servicio al cliente,2022-11-03,,0,12818,N/A,N/A
VAT-000116,Masculino,1991-06-04,Gerente de operaciones,2022-12-28,,0,15440,N/A,N/A
VAT-000117,Femenino,1976-06-02,Agente de servicio al cliente,2023-07-17,,0,18524,N/A,N/A
VAT-000118,Masculino,1980-04-13,Agente de servicio al cliente,2023-06-08,,0,27349,N/A,N/A
VAT-000119,Femenino,1963-09-23,Mecánico de aviones,2023-04-27,,0,13636,N/A,N/A
VAT-000120,Masculino,1990-07-20,Agente de servicio al cliente,2023-09-16,,0,13504,N/A,N/A
VAT-000121,Femenino,1964-04-03,Mecánico de aviones,2022-10-18,,0,17701,N/A,N/A
VAT-000122,Femenino,1989-10-04,Agente de servicio al cliente,2023-01-13,,0,24645,N/A,N/A
VAT-000123,Masculino,1996-08-03,Asistente de vuelo,2023-05-26,2024-06-03,13971,10822,Insatisfecho,Desacuerdo con la cultura de la empresa
VAT-000124,Masculino,1979-05-08,Gerente de operaciones,2023-05-20,,0,17700,N/A,N/A
VAT-000125,Femenino,1990-05-19,Mecánico de aviones,2023-05-01,,0,25100,N/A,N/A
VAT-000126,Femenino,1986-05-26,Controlador de tráfico aéreo,2022-11-27,,0,12577,N/A,N/A
VAT-000127,Masculino,1974-11-24,Gerente de operaciones,2022-12-06,,0,28426,N/A,N/A
VAT-000128,Masculino,1994-11-02,Agente de servicio al cliente,2023-08-07,,0,27748,N/A,N/A
VAT-000129,Masculino,1972-04-17,Gerente de operaciones,2023-05-17,,0,19928,N/A,N/A
VAT-000130,Masculino,1992-02-07,Mecánico de aviones,2022-11-29,,0,18220,N/A,N/A
VAT-000131,Femenino,1959-11-27,Agente de servicio al cliente,2023-01-26,,0,23538,N/A,N/A
VAT-000132,Femenino,1972-05-28,Agente de servicio al cliente,2023-03-26,,0,25559,N/A,N/A
VAT-000133,Masculino,1959-01-04,Gerente de operaciones,2022-11-14,,0,22583,N/A,N/A
VAT-000134,Masculino,1982-01-19,Agente de servicio al cliente,2023-02-12,2024-07-13,14277,10639,Neutral,Problemas personales
VAT-000135,Masculino,1996-03-16,Gerente de operaciones,2023-08-06,,0,13961,N/A,N/A
VAT-000136,Masculino,1978-10-26,Gerente de operaciones,2022-12-24,,0,17314,N/A,N/A
VAT-000137,Masculino,1993-01-13,Controlador de tráfico aéreo,2022-11-15,,0,13318,N/A,N/A
VAT-000138,Femenino,1997-11-14,Controlador de tráfico aéreo,2023-05-22,,0,20980,N/A,N/A
VAT-000139,Masculino,1959-03-17,Gerente de operaciones,2023-07-02,,0,20546,N/A,N/A
VAT-000140,Femenino,1990-03-10,Gerente de operaciones,2022-10-05,,0,15205,N/A,N/A
VAT-000141,Femenino,1994-09-03,Gerente de operaciones,2022-11-26,,0,26642,N/A,N/A
VAT-000142,Masculino,1988-04-14,Piloto,2023-05-27,,0,15882,N/A,N/A
VAT-000143,Masculino,1959-11-08,Agente de servicio al cliente,2023-04-12,,0,22981,N/A,N/A
VAT-000144,Masculino,1990-06-27,Mecánico de aviones,2023-08-17,,0,19306,N/A,N/A
VAT-000145,Femenino,1963-03-09,Gerente de operaciones,2023-08-16,,0,20614,N/A,N/A
VAT-000146,Femenino,1962-11-07,Agente de servicio al cliente,2023-08-09,,0,26723,N/A,N/A
VAT-000147,Masculino,1991-09-20,Controlador de tráfico aéreo,2023-07-28,,0,28598,N/A,N/A
VAT-000148,Masculino,1987-03-22,Gerente de operaciones,2023-04-11,,0,29000,N/A,N/A
VAT-000149,Femenino,1994-06-06,Piloto,2023-05-12,,0,28064,N/A,N/A
VAT-000150,Femenino,1960-07-25,Gerente de operaciones,2023-04-11,,0,14201,N/A,N/A
VAT-000151,Masculino,1975-11-13,Gerente de operaciones,2023-08-23,,0,28033,N/A,N/A
VAT-000152,Femenino,1975-12-12,Gerente de operaciones,2022-10-16,,0,19881,N/A,N/A
VAT-000153,Femenino,1972-11-27,Mecánico de aviones,2023-04-21,,0,12725,N/A,N/A
VAT-000154,Masculino,1985-07-09,Mecánico de aviones,2023-09-13,,0,12956,N/A,N/A
VAT-000155,Femenino,1965-02-11,Mecánico de aviones,2023-02-09,,0,20769,N/A,N/A
VAT-000156,Femenino,1991-09-11,Agente de servicio al cliente,2023-06-16,2024-03-12,14954,11403,Insatisfecho,Falta de oportunidades de crecimiento
VAT-000157,Femenino,1970-05-12,Controlador de tráfico aéreo,2023-06-26,,0,11705,N/A,N/A
VAT-000158,Femenino,1982-02-15,Gerente de operaciones,2022-11-26,2023-02-08,14786,25595,Insatisfecho,Mejor oferta laboral
VAT-000159,Masculino,1992-04-19,Agente de servicio al cliente,2023-09-04,,0,18620,N/A,N/A
VAT-000160,Femenino,1968-07-01,Controlador de tráfico aéreo,2023-03-22,2024-07-07,7740,22129,Neutral,Mejor oferta laboral
VAT-000161,Masculino,1976-01-19,Controlador de tráfico aéreo,2023-07-17,,0,10205,N/A,N/A
VAT-000162,Femenino,1986-08-27,Controlador de tráfico aéreo,2022-10-14,,0,23739,N/A,N/A
VAT-000163,Masculino,1968-10-03,Agente de servicio al cliente,2022-10-16,2022-12-23,5862,16485,Satisfecho,Mejor oferta laboral
VAT-000164,Femenino,1970-10-05,Gerente de operaciones,2023-02-03,,0,18122,N/A,N/A
VAT-000165,Femenino,1994-10-21,Mecánico de aviones,2023-03-29,,0,18647,N/A,N/A
VAT-000166,Femenino,1965-01-02,Agente de servicio al cliente,2023-01-23,,0,25779,N/A,N/A
VAT-000167,Masculino,1978-12-08,Mecánico de aviones,2022-11-09,,0,21673,N/A,N/A
VAT-000168,Masculino,1968-07-15,Agente de servicio al cliente,2023-08-22,,0,19337,N/A,N/A
VAT-000169,Masculino,1989-09-05,Agente de servicio al cliente,2022-10-14,,0,25080,N/A,N/A
VAT-000170,Femenino,1969-11-08,Agente de servicio al cliente,2023-08-10,,0,19543,N/A,N/A
VAT-000171,Femenino,1975-09-10,Gerente de operaciones,2023-02-24,,0,13453,N/A,N/A
VAT-000172,Femenino,1989-01-28,Gerente de operaciones,2023-08-25,,0,12770,N/A,N/A
VAT-000173,Masculino,1966-06-10,Gerente de operaciones,2023-04-27,,0,25329,N/A,N/A
VAT-000174,Masculino,1983-09-07,Gerente de operaciones,2022-10-07,,0,25751,N/A,N/A
VAT-000175,Femenino,1994-08-10,Gerente de operaciones,2023-06-09,,0,16627,N/A,N/A
VAT-000176,Masculino,1963-06-24,Gerente de operaciones,2022-11-12,,0,11860,N/A,N/A
VAT-000177,Femenino,1964-04-16,Gerente de operaciones,2022-12-07,,0,27383,N/A,N/A
VAT-000178,Femenino,1970-08-18,Agente de servicio al cliente,2023-07-05,,0,22196,N/A,N/A
VAT-000179,Masculino,1999-09-02,Agente de servicio al cliente,2022-10-03,,0,27263,N/A,N/A
VAT-000180,Masculino,1995-03-05,Controlador de tráfico aéreo,2023-05-02,,0,21164,N/A,N/A
VAT-000181,Femenino,1987-09-26,Gerente de operaciones,2022-10-03,,0,26911,N/A,N/A
VAT-000182,Femenino,1962-02-22,Gerente de operaciones,2022-10-28,,0,22993,N/A,N/A
VAT-000183,Femenino,1960-07-13,Agente de servicio al cliente,2023-09-07,,0,13043,N/A,N/A
VAT-000184,Masculino,1978-09-12,Agente de servicio al cliente,2023-04-21,,0,24547,N/A,N/A
VAT-000185,Masculino,1980-05-22,Gerente de operaciones,2023-01-11,,0,26458,N/A,N/A
VAT-000186,Femenino,1964-12-12,Agente de servicio al cliente,2022-10-27,,0,29392,N/A,N/A
VAT-000187,Femenino,1997-10-25,Gerente de operaciones,2023-04-15,,0,25908,N/A,N/A
VAT-000188,Femenino,1987-04-03,Gerente de operaciones,2022-12-26,,0,22401,N/A,N/A
VAT-000189,Masculino,1971-11-10,Controlador de tráfico aéreo,2023-06-27,,0,26083,N/A,N/A
VAT-000190,Masculino,1992-01-18,Agente de servicio al cliente,2022-12-10,,0,24298,N/A,N/A
VAT-000191,Femenino,1959-04-26,Controlador de tráfico aéreo,2023-03-29,,0,27285,N/A,N/A
VAT-000192,Masculino,1983-12-11,Gerente de operaciones,2023-02-12,,0,24167,N/A,N/A
VAT-000193,Femenino,1972-05-04,Agente de servicio al cliente,2023-04-28,,0,17621,N/A,N/A
VAT-000194,Femenino,1982-06-06,Gerente de operaciones,2023-08-11,,0,16730,N/A,N/A
VAT-000195,Masculino,1970-01-01,Gerente de operaciones,2022-12-18,,0,22298,N/A,N/A
VAT-000196,Femenino,1989-05-08,Gerente de operaciones,2023-08-08,,0,28380,N/A,N/A
VAT-000197,Masculino,1972-09-03,Controlador de tráfico aéreo,2023-04-04,,0,21403,N/A,N/A
VAT-000198,Femenino,1975-04-22,Gerente de operaciones,2023-06-22,,0,13814,N/A,N/A
VAT-000199,Masculino,1987-06-12,Mecánico de aviones,2023-01-10,,0,10797,N/A,N/A
VAT-000200,Femenino,1981-02-18,Asistente de vuelo,2022-11-22,2023-02-15,8331,13495,Neutral,Cambio de carrera
VAT-000201,Femenino,1995-09-19,Gerente de operaciones,2023-04-11,,0,11575,N/A,N/A
VAT-000202,Masculino,1959-06-06,Agente de servicio al cliente,2023-08-08,,0,25281,N/A,N/A
VAT-000203,Femenino,1975-12-04,Agente de servicio al cliente,2023-03-12,,0,20787,N/A,N/A
VAT-000204,Masculino,1998-08-04,Controlador de tráfico aéreo,2023-09-15,,0,27848,N/A,N/A
VAT-000205,Masculino,1982-08-25,Agente de servicio al cliente,2023-02-08,,0,29397,N/A,N/A
VAT-000206,Masculino,1965-03-21,Gerente de operaciones,2022-11-12,,0,20070,N/A,N/A
VAT-000207,Masculino,1972-08-26,Gerente de operaciones,2022-12-01,,0,27302,N/A,N/A
VAT-000208,Masculino,1989-12-10,Mecánico de aviones,2022-12-05,,0,26226,N/A,N/A
VAT-000209,Femenino,1962-07-28,Gerente de operaciones,2022-11-29,,0,13817,N/A,N/A
VAT-000210,Masculino,1968-07-16,Controlador de tráfico aéreo,2023-08-19,,0,27740,N/A,N/A
VAT-000211,Femenino,1984-01-18,Agente de servicio al cliente,2023-05-19,,0,13661,N/A,N/A
VAT-000212,Masculino,1981-06-08,Mecánico de aviones,2023-03-18,,0,29682,N/A,N/A
VAT-000213,Femenino,1966-02-03,Gerente de operaciones,2022-12-25,2024-04-25,10694,11298,Insatisfecho,Desacuerdo con la cultura de la empresa
VAT-000214,Femenino,1979-07-23,Gerente de operaciones,2022-12-22,,0,28593,N/A,N/A
VAT-000215,Masculino,1967-02-08,Gerente de operaciones,2023-03-14,,0,11077,N/A,N/A
VAT-000216,Masculino,1975-02-28,Agente de servicio al cliente,2023-06-23,,0,26691,N/A,N/A
VAT-000217,Masculino,1992-09-16,Asistente de vuelo,2023-02-24,,0,19903,N/A,N/A
VAT-000218,Masculino,1962-01-14,Gerente de operaciones,2023-05-20,,0,19618,N/A,N/A
VAT-000219,Femenino,1993-04-11,Gerente de operaciones,2023-07-14,,0,16046,N/A,N/A
VAT-000220,Masculino,1988-07-18,Gerente de operaciones,2023-07-28,2023-11-16,17020,23261,Insatisfecho,Desacuerdo con la cultura de la empresa
VAT-000221,Masculino,1979-01-08,Agente de servicio al cliente,2023-06-15,,0,26824,N/A,N/A
VAT-000222,Femenino,1960-10-28,Mecánico de aviones,2023-05-04,,0,17492,N/A,N/A
VAT-000223,Femenino,1990-04-04,Gerente de operaciones,2023-08-12,2024-03-25,16111,17818,Insatisfecho,Falta de oportunidades de crecimiento
VAT-000224,Masculino,1981-10-15,Agente de servicio al cliente,2023-03-15,,0,27998,N/A,N/A
VAT-000225,Masculino,1984-11-22,Piloto,2023-01-02,,0,16717,N/A,N/A
VAT-000226,Masculino,1996-10-01,Gerente de operaciones,2023-06-21,,0,28403,N/A,N/A
VAT-000227,Femenino,1975-08-22,Agente de servicio al cliente,2022-12-21,,0,22375,N/A,N/A
VAT-000228,Femenino,1980-10-25,Agente de servicio al cliente,2023-06-02,,0,20475,N/A,N/A
VAT-000229,Masculino,1981-01-02,Gerente de operaciones,2023-04-28,,0,28692,N/A,N/A
VAT-000230,Masculino,1981-01-15,Agente de servicio al cliente,2023-08-01,,0,21401,N/A,N/A
VAT-000231,Masculino,1987-02-19,Controlador de tráfico aéreo,2023-07-13,,0,20071,N/A,N/A
VAT-000232,Femenino,1988-12-09,Gerente de operaciones,2023-05-11,,0,26837,N/A,N/A
VAT-000233,Masculino,1977-05-16,Gerente de operaciones,2023-05-03,,0,23957,N/A,N/A
VAT-000234,Femenino,1970-08-04,Gerente de operaciones,2023-01-02,,0,23840,N/A,N/A
VAT-000235,Masculino,1982-06-03,Controlador de tráfico aéreo,2023-04-18,,0,16178,N/A,N/A
VAT-000236,Femenino,1975-08-01,Controlador de tráfico aéreo,2023-04-22,,0,19004,N/A,N/A
VAT-000237,Masculino,1993-02-21,Agente de servicio al cliente,2023-09-10,,0,25319,N/A,N/A
VAT-000238,Masculino,1962-11-02,Gerente de operaciones,2023-02-14,,0,29581,N/A,N/A
VAT-000239,Femenino,1988-02-26,Agente de servicio al cliente,2023-03-18,,0,17559,N/A,N/A
VAT-000240,Masculino,1960-10-12,Agente de servicio al cliente,2022-11-10,,0,20629,N/A,N/A
VAT-000241,Masculino,1982-10-10,Gerente de operaciones,2023-08-10,,0,26034,N/A,N/A
VAT-000242,Femenino,1968-05-06,Agente de servicio al cliente,2023-09-11,,0,21826,N/A,N/A
VAT-000243,Masculino,1992-11-01,Agente de servicio al cliente,2023-03-06,,0,29160,N/A,N/A
VAT-000244,Femenino,1996-02-09,Piloto,2023-01-20,,0,18031,N/A,N/A
VAT-000245,Femenino,1978-02-06,Gerente de operaciones,2023-07-02,,0,11399,N/A,N/A
VAT-000246,Femenino,1973-06-28,Gerente de operaciones,2023-02-13,,0,27955,N/A,N/A
VAT-000247,Femenino,1978-03-16,Agente de servicio al cliente,2023-01-01,,0,16487,N/A,N/A
VAT-000248,Masculino,1960-12-21,Piloto,2023-08-04,,0,25974,N/A,N/A
VAT-000249,Masculino,1994-06-11,Controlador de tráfico aéreo,2023-05-11,,0,12845,N/A,N/A
VAT-000250,Masculino,1999-09-26,Mecánico de aviones,2023-06-03,,0,22773,N/A,N/A
VAT-000251,Masculino,1963-05-26,Gerente de operaciones,2022-12-16,,0,26139,N/A,N/A
VAT-000252,Femenino,1994-12-16,Mecánico de aviones,2023-07-30,,0,11216,N/A,N/A
VAT-000253,Femenino,1977-07-26,Gerente de operaciones,2023-08-09,,0,10627,N/A,N/A
VAT-000254,Femenino,1966-04-01,Gerente de operaciones,2023-07-13,,0,28354,N/A,N/A
VAT-000255,Femenino,1996-04-12,Piloto,2023-01-25,,0,28402,N/A,N/A
VAT-000256,Masculino,1990-01-28,Agente de servicio al cliente,2023-06-09,,0,13524,N/A,N/A
VAT-000257,Masculino,1982-01-22,Asistente de vuelo,2023-01-31,,0,19133,N/A,N/A
VAT-000258,Femenino,1964-09-25,Agente de servicio al cliente,2023-08-27,,0,12422,N/A,N/A
VAT-000259,Femenino,1965-11-20,Mecánico de aviones,2023-05-01,,0,17342,N/A,N/A
VAT-000260,Femenino,1963-01-26,Gerente de operaciones,2023-03-18,,0,14098,N/A,N/A
VAT-000261,Femenino,1972-05-07,Agente de servicio al cliente,2022-10-25,,0,27212,N/A,N/A
VAT-000262,Masculino,1975-08-02,Agente de servicio al cliente,2023-07-26,,0,19797,N/A,N/A
VAT-000263,Masculino,1985-02-01,Controlador de tráfico aéreo,2022-11-22,,0,16378,N/A,N/A
